place_id,name,dow,day,hour,busyness_pct,level,model_version
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,18,53,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,19,59,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,20,63,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,21,57,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,22,59,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,23,48,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,0,31,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,1,20,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,2,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,3,15,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,4,15,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,5,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,6,20,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,7,19,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,8,26,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,9,28,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,10,22,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,11,31,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,12,40,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,13,53,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,14,65,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,15,65,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,16,65,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,17,54,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,18,50,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,19,46,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,20,38,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,21,48,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,22,35,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,6,sunday,23,30,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,0,14,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,1,6,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,2,7,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,3,7,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,4,7,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,5,8,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,6,19,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,7,24,quiet,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,8,29,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,9,35,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,10,39,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,11,43,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,12,47,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,13,49,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,14,53,busy,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,15,52,busy,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,16,41,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,17,39,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,18,40,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,19,36,moderate,gbm_v1
ChIJ01_9-ZdYwokRL2JrA28GJp8,Neue Galerie New York,0,monday,20,34,moderate,gbm_v1
