bbl,latitude,longitude,bldgclass,landuse,lotarea,bldgarea,numfloors,unitsres,unitstotal,yearbuilt,footprint_area
1015620031.0,40.7740743,-73.9493813,C1,2.0,2554.0,8345.0,5.0,22.0,22.0,1920.0,1669.0
1015800042.0,40.7740047,-73.9472403,A4,1.0,2554.0,7970.0,5.0,1.0,1.0,1910.0,1594.0
1015620024.0,40.7737448,-73.9490783,C7,4.0,2035.0,8055.0,5.0,9.0,10.0,1910.0,1611.0
1015800104.0,40.7739584,-73.9480058,C7,4.0,1836.0,7200.0,5.0,11.0,13.0,1910.0,1440.0
1015790011.0,40.7731322,-73.9479234,D1,3.0,2963.0,11928.0,5.0,20.0,20.0,1910.0,2385.6
1015630022.0,40.7741921,-73.9487494,C7,4.0,1964.0,8583.0,5.0,8.0,10.0,1915.0,1716.6
1015800010.0,40.773788,-73.9475041,C1,2.0,2554.0,9190.0,5.0,15.0,15.0,1925.0,1838.0
1015800032.0,40.7736448,-73.946385,D4,3.0,6974.0,22812.0,5.0,32.0,32.0,1910.0,4562.4
1015790001.0,40.7733329,-73.9486995,S5,4.0,1173.0,4680.0,4.0,6.0,7.0,1890.0,1170.0
1015800023.0,40.7733401,-73.9464394,D4,3.0,15120.0,182000.0,20.0,152.0,154.0,1958.0,9100.0
1015620022.0,40.7736213,-73.9491686,C7,4.0,2042.0,8055.0,5.0,8.0,9.0,1910.0,1611.0
1015620032.0,40.7741073,-73.9494607,C1,2.0,2554.0,8345.0,5.0,11.0,11.0,1920.0,1669.0
1015790023.0,40.7727914,-73.9469525,D4,3.0,24374.0,345242.0,42.0,123.0,125.0,1973.0,8220.047619047618
1015790030.0,40.7729532,-73.9466238,W8,8.0,7514.0,82374.0,12.0,0.0,0.0,2017.0,6864.5
1015790137.0,40.7732006,-73.9473168,C1,2.0,2550.0,8164.0,5.0,10.0,10.0,1900.0,1632.8
1015790139.0,40.7732665,-73.947472,C1,2.0,2550.0,8164.0,5.0,10.0,10.0,1900.0,1632.8
1015800007.0,40.7738869,-73.9477423,C1,2.0,2554.0,9190.0,5.0,15.0,15.0,1910.0,1838.0
1015800009.0,40.773821,-73.9475835,C1,2.0,2554.0,9190.0,5.0,17.0,17.0,1925.0,1838.0
1015800020.0,40.7734555,-73.9467137,C1,2.0,2554.0,9185.0,5.0,15.0,15.0,1910.0,1837.0
1015800043.0,40.7740707,-73.9473992,D4,3.0,7662.0,29910.0,5.0,20.0,20.0,1910.0,5982.0
1015800048.0,40.7742053,-73.9477168,C7,4.0,2554.0,7106.0,4.0,8.0,9.0,1900.0,1776.5
1015800052.0,40.7742137,-73.9480273,C7,4.0,1843.0,7750.0,5.0,8.0,9.0,1920.0,1550.0
1015790005.0,40.7732943,-73.9483132,D4,3.0,10050.0,47680.0,6.0,54.0,54.0,1950.0,7946.666666666667
1015790035.0,40.7731346,-73.947158,C1,2.0,2550.0,8164.0,5.0,10.0,10.0,1900.0,1632.8
